model,accuracy,precision,recall,f1,roc_auc
RandomForest,0.7241379310344828,0.7142857142857143,1.0,0.8333333333333334,0.5444444444444445
LogisticRegression,0.5862068965517241,0.6818181818181818,0.75,0.7142857142857143,0.4
Naive (majority),0.6896551724137931,0.6896551724137931,1.0,0.8163265306122449,0.5
