maturity,signal,regime,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps
5y,z<-2,highvol,35,2.397142857142854,0.030308691933547675,4.679082959250794,4.460237704502117e-05,0.0005082604475319386,2.871413016691804e-05,0.7909093742477012,1.3560028619975701,3.438282852288138,1.451142857142859,3.426428571428574
5y,z<-2,lowvol,13,3.446153846153857,0.03215746513801369,3.8638880092439596,0.0022527010609345146,0.0224609375,0.004638671875,1.071649718459967,1.5028976764536544,5.38941001585406,1.545384615384629,4.993076923076916
5y,z>+2,highvol,13,-2.384615384615389,0.033283745166487695,-2.5831987952329243,0.023956193366453705,0.5810546875,0.057373046875,-0.7164504393022393,-4.395931975270694,-0.37329879396008453,-4.163461538461542,-0.7186538461538516
5y,z>+2,lowvol,24,-4.641666666666669,0.14366413629702798,-1.5828188137241874,0.12711782917712444,0.15158963203430176,0.022932052612304688,-0.3230915374084696,-10.70807110397302,1.4247377706396822,-10.651666666666673,-0.6247916666666679
10y,z<-2,highvol,30,3.363333333333322,0.049949963469202927,3.6880378024931098,0.0009265705178011189,5.9476122260093696e-05,3.453157842159271e-05,0.6733404991190862,1.498171044308994,5.228495622357651,1.738499999999994,5.3050833333333225
10y,z<-2,lowvol,14,2.021428571428574,0.06611898199624495,1.1439215967588807,0.27328325455639435,1.0,0.6496440323317323,0.3057259066002219,-1.7961677912612632,5.839024934118411,-0.8514285714285712,6.032142857142856
10y,z>+2,highvol,15,-4.30666666666666,0.05281567227722496,-3.1580869008192365,0.006978550002626412,0.00738525390625,0.00201416015625,-0.8154145315165798,-7.231501107912114,-1.3818322254212059,-7.190499999999996,-1.8996666666666648
10y,z>+2,lowvol,22,-3.959090909090916,0.07305031474845591,-2.5420537144182824,0.0189685845401673,0.004343509674072266,0.0012617111206054688,-0.5419676729284183,-7.1979604185674315,-0.720221399614402,-7.636818181818186,-1.667727272727294
