maturity,signal,n_highvol,n_lowvol,mean_diff_bps,t_stat,p_value,effect_size
5y,z<-2,35,13,-1.0490109890110029,-1.0198880521657057,0.31970218071345496,-0.34020960205451883
5y,z>+2,13,24,2.25705128205128,0.7341449165042085,0.4691260394927331,0.1930100207270269
10y,z<-2,30,14,1.3419047619047484,0.6748163692092706,0.50744172539719,0.2432068730107629
10y,z>+2,15,22,-0.34757575757574377,-0.16790361877291865,0.8676301942437226,-0.05362784775003899
