window,threshold,maturity,signal,direction,horizon,correct_sign,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps,t_p_bh,sig_bh
30,1.5,2y,z<-1.5,negative,5,True,73,1.475342465753433,0.029045357642983695,4.3398782373293745,4.573048629798768e-05,0.012774595538064901,9.611786898343435e-05,0.5079443275885509,0.7976641317091157,2.153020799797751,0.8341095890411059,2.1404452054794643,0.000435784634133765,True
30,1.5,2y,z<-1.5,negative,10,True,73,2.0452054794520573,0.03120676613594599,5.59950467160208,3.6839464697735415e-07,1.6464300115968573e-07,4.0903777738066857e-07,0.6553724504943997,1.3170977540845534,2.7733132048195617,1.2711986301369878,2.7318493150684864,7.7956989745425e-06,True
30,1.5,2y,z<-1.5,negative,20,True,73,2.1191780821917927,0.04402355983329544,4.112858101390419,0.00010249069945288957,0.006309827313666047,0.00037388466240330956,0.48137363044163406,1.0920324345727916,3.1463237298107933,1.1125684931506936,3.1274657534246657,0.0006918122213070046,True
30,1.5,2y,z>+1.5,positive,5,True,79,-9.422784810126588,0.3749021051492109,-2.233957670405723,0.028349863503810267,1.2967077325175125e-05,7.318479176254823e-08,-0.25133987461543655,-17.82013439637763,-1.0254352238755469,-19.158164556962028,-1.8337974683544378,0.04175161716015694,True
30,1.5,2y,z>+1.5,positive,10,True,79,-7.101265822784808,0.4207267976956703,-1.50019992992235,0.13759968461896294,4.194042408924103e-06,1.1154602052609005e-05,-0.16878567901257047,-16.52503259290826,2.3225009473386447,-16.779588607594928,0.6774683544303798,0.1447477201835844,False
30,1.5,2y,z>+1.5,positive,20,True,78,-4.469230769230764,0.3834871205508362,-1.0292699622762986,0.3065751805221206,0.03953953287797775,0.0031775071022425183,-0.11654187402203275,-13.115529349201182,4.177067810739652,-13.910352564102554,3.8863782051282083,0.3065751805221206,False
30,1.5,5y,z<-1.5,negative,5,True,89,2.3415730337078653,0.03301336127194425,6.691337982026565,1.9758162544429582e-09,1.1915233414863414e-09,2.2423430586095424e-09,0.7092804075354195,1.6461389710213066,3.037007096394424,1.6893820224719074,3.0196910112359587,1.0669407773991975e-07,True
30,1.5,5y,z<-1.5,negative,10,True,89,2.3280898876404508,0.03560579267352596,6.1684221652119255,2.048637739685525e-08,5.986670828041249e-07,2.2866759790175372e-08,0.6538514418108881,1.5780456600879984,3.0781341151929027,1.6929213483146133,3.050196629213481,6.637586276581101e-07,True
30,1.5,5y,z<-1.5,negative,20,True,88,2.4170454545454576,0.08538650753343022,2.655442509525524,0.009419143201533845,0.009673218547269866,0.001093314490415386,0.28307112263599077,0.6078782271630137,4.226212681927902,1.0135227272727294,4.280738636363642,0.01980082872134714,True
30,1.5,5y,z>+1.5,positive,5,True,71,-2.4070422535211273,0.08518657237309206,-2.3809032308171,0.0199952024412294,0.0018204049356112858,2.2909102636387135e-05,-0.282561228426822,-4.423375524813442,-0.39070898222881256,-4.49929577464789,-0.9748943661971836,0.033394049437929514,True
30,1.5,5y,z>+1.5,positive,10,True,71,-2.9478873239436587,0.08881229952705709,-2.796835600279655,0.006658047640201179,0.0015503169494868645,4.6666027333813046e-05,-0.33192331913954903,-5.050040156811349,-0.8457344910759692,-5.042922535211267,-1.327605633802815,0.0154086245387513,True
30,1.5,5y,z>+1.5,positive,20,True,71,-2.260563380281686,0.09192551004143665,-2.0720957224414898,0.04194203859552117,0.03192716208321237,0.00913107136969171,-0.24591251974155018,-4.436404703785998,-0.08472205677737404,-4.43658450704225,-0.5100352112676046,0.056153803739458094,False
30,1.5,10y,z<-1.5,negative,5,True,85,1.9847058823529395,0.03320804043571127,5.510136664771775,3.849727888662963e-07,2.1750638050848603e-08,3.283205666589573e-08,0.5976582346661522,1.26842504507645,2.700986719629429,1.3359411764705846,2.744941176470587,7.7956989745425e-06,True
30,1.5,10y,z<-1.5,negative,10,True,85,2.068235294117643,0.044659082093627706,4.269722159153074,5.121950121071892e-05,0.00018679938527835335,2.317027588426104e-06,0.46311639137176863,1.1049612106633429,3.0315093775719437,1.2120294117647055,3.0656176470588163,0.00043671364190191924,True
30,1.5,10y,z<-1.5,negative,20,True,84,2.12142857142857,0.05308031455690099,3.662980180568484,0.00043781295532017197,0.002985323184447229,0.00015696488204202066,0.39966390348995445,0.9695151301630938,3.273342012694046,1.1582738095238108,3.3589285714285664,0.0021492635988444807,True
30,1.5,10y,z>+1.5,positive,5,True,80,-2.0962499999999955,0.051001723413422365,-3.6762345929669746,0.00042979689758916123,0.0001831165641297511,4.328828946930628e-06,-0.41101552255552126,-3.2312377565423276,-0.9612622434576642,-3.280187499999992,-1.1973125000000016,0.0021492635988444807,True
30,1.5,10y,z>+1.5,positive,10,True,80,-2.108749999999996,0.05092292357641711,-3.7038787378157347,0.00039179138454829176,0.009682849923057572,8.729486975238397e-05,-0.4141062319086051,-3.241984152071092,-0.9755158479289001,-3.2456249999999973,-1.1736249999999977,0.002047425945058815,True
30,1.5,10y,z>+1.5,positive,20,True,80,-2.127499999999994,0.05684533201725448,-3.3474935959116623,0.001250926957416145,0.009682849923057572,0.00030994354895770495,-0.3742611617351845,-3.3925308957831732,-0.862469104216815,-3.422031249999989,-1.177374999999992,0.0046056856159412615,True
30,2.0,2y,z<-2.0,negative,5,True,36,3.02777777777779,0.048240831022877115,3.765827885106626,0.0006110982918935476,0.011330984183587134,0.00015944891492836177,0.6276379808511042,1.3955428856956584,4.660012669859922,1.5272222222222316,4.52791666666668,0.002749942313520964,True
30,2.0,2y,z<-2.0,negative,10,True,36,3.3777777777777844,0.04716179513796014,4.2972636235286625,0.00013103230140847292,1.2913485988974571e-05,1.763927866704762e-05,0.7162106039214438,1.7820522074429288,4.97350334811264,1.8986111111111208,4.9352777777777845,0.0008164320318527928,True
30,2.0,2y,z<-2.0,negative,20,True,36,3.63611111111112,0.055633059430407965,3.9215291932591696,0.0003915217085198061,0.0018782254774123432,0.00048527125631801245,0.6535881988765283,1.7537591940695583,5.518463028152682,1.9748611111111152,5.425694444444448,0.002047425945058815,True
30,2.0,2y,z>+2.0,positive,5,True,48,-14.93333333333334,0.47423314731699684,-2.1816519748591783,0.034170559726611004,3.3052667092192682e-06,7.494230658267043e-08,-0.31489433874075634,-28.703628512351067,-1.1630381543156154,-30.25947916666668,-3.146510416666668,0.04766516900676701,True
30,2.0,2y,z>+2.0,positive,10,True,48,-10.691666666666668,0.3864884371578761,-1.9165913495820985,0.06138159963953457,0.0002222449626216872,5.7178568475535485e-05,-0.2766361329019332,-21.914121050235337,0.5307877169020009,-23.020208333333336,-2.121510416666669,0.07311631721768089,False
30,2.0,2y,z>+2.0,positive,20,True,47,-10.491489361702126,0.39800436035339415,-1.807166817060687,0.07727892506303029,0.10380535550410741,0.003788358688706201,-0.2636023724058343,-22.17733516349068,1.1943564400864304,-23.46058510638297,-1.7134042553191553,0.08816328070571061,False
30,2.0,5y,z<-2.0,negative,5,True,53,2.9886792452830195,0.03171062693589697,6.8613948798476825,8.232630708323189e-09,1.3065282189472782e-10,5.150399998187054e-09,0.942485070170525,2.1146261170312783,3.8627323735347607,2.248066037735853,3.8491509433962268,3.3342154368708916e-07,True
30,2.0,5y,z<-2.0,negative,10,True,53,3.566037735849059,0.02557037302774338,10.152822783670336,6.140750125306825e-14,7.077378683106872e-10,1.1224909821096085e-09,1.394597463236056,2.8612309661613042,4.270844505536814,2.915235849056602,4.204245283018872,9.948015202997056e-12,True
30,2.0,5y,z<-2.0,negative,20,True,52,2.761538461538469,0.04189209006069159,4.753579259386569,1.6738335698654477e-05,0.0004095414537825804,1.9836504354457667e-05,0.6592028369884774,1.5952552265339843,3.9278216965429538,1.5855288461538501,3.865769230769242,0.00020858541409092502,True
30,2.0,5y,z>+2.0,positive,5,True,41,-3.9341463414634155,0.11001491029767226,-2.2897648804577684,0.02738778179345988,0.0014504910141113214,7.365244618995348e-05,-0.3576011952215041,-7.4066453829394865,-0.4616472999873451,-7.795365853658538,-1.5532926829268292,0.04146561355645328,True
30,2.0,5y,z>+2.0,positive,10,True,41,-4.168292682926828,0.11178001588485982,-2.387734130781944,0.021765842575435193,0.011507789735333063,0.0002143039882867015,-0.37290142159403716,-7.69650533124972,-0.6400800346039361,-8.082804878048783,-1.6109146341463376,0.035616833305257584,True
30,2.0,5y,z>+2.0,positive,20,True,41,-3.929268292682924,0.11601643071186925,-2.168623261884269,0.03611497759137597,0.011507789735333063,0.0036077035611015162,-0.33868205292760606,-7.591198692411341,-0.2673378929545077,-8.032195121951219,-1.320670731707322,0.04958157940510938,True
30,2.0,10y,z<-2.0,negative,5,True,44,2.5999999999999934,0.039798328818484156,4.333460580344267,8.667177856641416e-05,0.0012600338162656044,1.5446093925675086e-05,0.653293763127168,1.3900202111505533,3.809979788849433,1.641306818181811,3.71920454545454,0.0006104707881634389,True
30,2.0,10y,z<-2.0,negative,10,True,44,3.527272727272715,0.05088352574644376,4.598203445222073,3.729090634088795e-05,9.430375484953402e-07,1.2044120012433268e-07,0.6932052517055062,1.9802721479418042,5.074273306603626,2.3556249999999874,4.995909090909073,0.0003775704267014905,True
30,2.0,10y,z<-2.0,negative,20,True,44,3.2022727272727236,0.06478748394643784,3.2786385473874122,0.0020705577084821746,0.0012600338162656044,0.00039282595582790236,0.49427335840363223,1.232553181933706,5.1719922726117415,1.5350568181818054,4.9889772727272765,0.006336272956394231,True
30,2.0,10y,z>+2.0,positive,5,True,52,-2.903846153846153,0.05944711326900654,-3.522447307533043,0.0009114508647189602,0.0004095414537825804,1.0011573947222424e-05,-0.48847555317040225,-4.558864355960425,-1.2488279517318803,-4.679711538461533,-1.5198557692307686,0.003691376002111789,True
30,2.0,10y,z>+2.0,positive,10,True,52,-3.4865384615384616,0.05791035291171146,-4.341501153038903,6.722513046934788e-05,9.063271916964766e-06,2.7299235940084616e-06,-0.6020578853756845,-5.098772982095282,-1.8743039409816415,-5.15639423076923,-2.14230769230769,0.0005185938636206837,True
30,2.0,10y,z>+2.0,positive,20,True,52,-3.1865384615384564,0.062145000854628,-3.6975549622055968,0.0005329327982167989,0.0006210434562277101,5.135790699576109e-05,-0.5127586157722536,-4.916666333675841,-1.456410589401072,-4.882932692307689,-1.7335096153846117,0.002466717523174898,True
30,2.5,2y,z<-2.5,negative,5,True,16,3.19375,0.06163166799625027,2.0727980298662763,0.05583544333013663,0.076812744140625,0.033538818359375,0.5181995074665691,-0.09036976856676773,6.4778697685667685,0.33125000000000704,6.2193750000000065,0.06904841083574148,False
30,2.5,2y,z<-2.5,negative,10,True,16,3.1625000000000028,0.074851742353357,1.6900074203059186,0.11169609391739603,0.076812744140625,0.0506591796875,0.42250185507647964,-0.8260678055846543,7.15106780558466,-0.5132812499999954,6.388437500000009,0.12309365452121195,False
30,2.5,2y,z<-2.5,negative,20,True,16,4.231250000000006,0.06464541102558385,2.6181286082784507,0.019386115324727112,0.076812744140625,0.0155029296875,0.6545321520696127,0.7865392011755977,7.675960798824416,1.2592187499999963,7.550000000000017,0.032714069610477,True
30,2.5,2y,z>+2.5,positive,5,True,27,-23.955555555555566,0.6210449217824704,-2.0043110195639446,0.05555652896308604,0.005924612283706665,0.00018434226512908936,-0.38572983556165896,-48.523274428947836,0.6121633178367059,-52.50212962962962,-2.7166666666666806,0.06904841083574148,False
30,2.5,2y,z>+2.5,positive,10,True,27,-16.348148148148148,0.5093499907778669,-1.667762268475498,0.10736452040485535,0.052238985896110535,0.002468690276145935,-0.32096099821620994,-36.49736271008386,3.8010664137875683,-38.13305555555555,-1.7916666666666674,0.11913049524374361,False
30,2.5,2y,z>+2.5,positive,20,True,27,-15.74074074074074,0.5208516147218941,-1.5703376129278008,0.12842806362714287,0.32693958282470703,0.05846092962213628,-0.3022116145141534,-36.344944392408216,4.863462910926733,-44.014444444444436,-0.9207407407407497,0.14002892047612753,False
30,2.5,5y,z<-2.5,negative,5,True,29,3.0724137931034434,0.035091611280561194,4.714931582734293,6.045461515431733e-05,1.6242265701293945e-06,9.424984455108643e-07,0.8755408147375069,1.7376002871366105,4.407227299070277,2.032672413793106,4.494310344827572,0.0004896823827499704,True
30,2.5,5y,z<-2.5,negative,10,True,29,3.2862068965517253,0.028292760479785455,6.254874189783281,9.243465956343658e-07,2.744048833847046e-05,1.0495793220772192e-05,1.1615009779267196,2.210007844089797,4.362405949013653,2.3517241379310234,4.393620689655176,1.3613104408433388e-05,True
30,2.5,5y,z<-2.5,negative,20,True,28,3.400000000000002,0.04820788317277589,3.7319848396494675,0.0008953475564895567,0.0037191659212112427,0.0003059804439544678,0.7052788415982681,1.5306934363945028,5.269306563605502,1.824821428571433,5.313303571428589,0.003691376002111789,True
30,2.5,5y,z>+2.5,positive,5,True,17,-8.094117647058816,0.16297487175491013,-2.0477329815106247,0.057368666042900175,0.002349853515625,0.0005035400390625,-0.4966481985781931,-16.47351234717258,0.2852770530549484,-16.552499999999984,-2.6124999999999945,0.06987762330037466,False
30,2.5,5y,z>+2.5,positive,10,True,17,-7.9352941176470555,0.16701906372345302,-1.9589413979457602,0.06778393756621881,0.143463134765625,0.0055694580078125,-0.47511307636032285,-16.52262198182806,0.6520337465339476,-16.985441176470587,-2.322352941176464,0.0783878299923349,False
30,2.5,5y,z>+2.5,positive,20,True,17,-8.629411764705868,0.16722431219244205,-2.127679625429374,0.049260314679716005,0.012725830078125,0.0013427734375,-0.5160381078305841,-17.227292531397136,-0.03153099801459641,-17.492499999999982,-2.978970588235279,0.06384136782491194,False
30,2.5,10y,z<-2.5,negative,5,True,22,4.018181818181821,0.04730109871233373,3.984462060903809,0.0006742852629153289,0.0008554458618164062,0.00021314620971679688,0.849490165676444,1.9209685903995983,6.1153950459640445,2.30863636363637,6.035568181818172,0.0029522760160076563,True
