maturity,signal,mean_forward,t_stat,p_value,count
2y,z<-2,0.022894117647058804,5.143868890774736,1.7347790763512874e-06,85
2y,z>+2,-0.1857747747747748,-3.558392262067843,0.0005520670741790102,111
5y,z<-2,0.018067961165048538,4.938279835937059,3.0881287471470304e-06,103
5y,z>+2,-0.02544705882352943,-2.990596386945244,0.0036527659873431236,85
10y,z<-2,0.01994623655913971,5.512432377914174,3.212133008724495e-07,93
10y,z>+2,-0.020325301204819287,-3.3675959933379205,0.0011567597748804617,83
