maturity,signal,n_rising,n_falling,mean_diff_bps,t_stat,p_value,effect_size
5y,z<-2,13,35,3.728571428571433,3.8986264578571954,0.0010878874496747194,1.2092302323182158
5y,z>+2,11,26,-9.94405594405595,-1.6436852334826664,0.1308618605895564,-0.8503583676347092
10y,z<-2,13,31,0.243176178660056,0.16587730072043683,0.8691143192998856,0.044073260399397025
10y,z>+2,15,22,-2.1415151515151374,-0.9124207473143737,0.3713776726592576,-0.3304167393631544
