maturity,signal,regime,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps
5y,z<-2,rising,13,5.400000000000004,0.031182259913825356,6.243927457891884,4.2933548670742314e-05,0.00341796875,0.00048828125,1.7317538930543621,3.515674892200811,7.284325107799197,3.8794230769230595,7.104038461538501
5y,z<-2,falling/stable,35,1.6714285714285708,0.024155831628835965,4.093547650216067,0.0002474556476595261,0.0018782254774123432,0.0004121505771763623,0.6919358427028061,0.8416467227127797,2.501210420144362,0.8785000000000012,2.4843571428571414
5y,z>+2,rising,11,-10.836363636363643,0.19997713505662235,-1.797213079559981,0.10251648716507344,0.0654296875,0.0048828125,-0.5418801321108732,-24.271010371804383,2.598283099077095,-23.07727272727274,-2.490454545454556
5y,z>+2,falling/stable,26,-0.8923076923076932,0.025260123636946907,-1.8012161779568403,0.0837440174651574,0.557197093963623,0.1899040937423706,-0.353247555369267,-1.9125861662166999,0.12797078160131337,-1.9449038461538448,-0.05750000000000309
10y,z<-2,rising,13,3.1076923076923055,0.034047666436095,3.2909579823276545,0.0064478609238418135,0.09228515625,0.013427734375,0.9127475192830671,1.0502124167283966,5.165172198656214,1.230384615384623,4.965576923076898
10y,z<-2,falling/stable,31,2.8645161290322494,0.06243425789692524,2.5545191625899046,0.015948966311915794,0.005222879350185395,0.006424211872163101,0.45880518573014395,0.57440906049805,5.154623197566449,0.9821774193548276,5.289274193548373
10y,z>+2,rising,15,-5.373333333333327,0.07994414716954994,-2.603171245230049,0.020848246786621578,0.0009765625,0.00018310546875,-0.6721359253401336,-9.80049263919572,-0.946174027470932,-9.784166666666657,-2.57933333333333
10y,z>+2,falling/stable,22,-3.231818181818189,0.05239900613709992,-2.8929119176844953,0.008703262790835517,0.01690053939819336,0.005928516387939453,-0.6167708932040171,-5.555059962346082,-0.9085764012902966,-5.392954545454558,-1.1930681818181952
