ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
25-Jul-2023,113.02,+3.07,+2.79%,109.95,109.95,113.02,
24-Jul-2023,109.95,+3.29,+3.08%,106.66,106.66,109.95,
21-Jul-2023,106.66,-6.19,-5.49%,112.85,106.66,112.85,
20-Jul-2023,112.85,+5.66,+5.28%,107.19,107.19,112.85,
19-Jul-2023,107.19,-5.26,-4.68%,112.45,107.19,112.45,
18-Jul-2023,112.45,-1.05,-0.93%,113.50,112.45,113.50,
17-Jul-2023,113.50,+1.02,+0.91%,112.48,112.48,113.50,
14-Jul-2023,112.48,+0.73,+0.65%,111.75,111.75,112.48,
13-Jul-2023,111.75,-2.32,-2.03%,114.07,111.75,114.07,
12-Jul-2023,114.07,-13.00,-10.23%,127.07,114.07,127.07,
11-Jul-2023,127.07,-4.66,-3.54%,131.73,127.07,131.73,
10-Jul-2023,131.73,+1.32,+1.01%,130.41,130.41,131.73,
07-Jul-2023,130.41,-4.22,-3.13%,134.63,130.41,134.63,
06-Jul-2023,134.63,+24.10,+21.80%,110.53,110.53,134.63,
05-Jul-2023,110.53,-0.24,-0.22%,110.77,110.53,110.77,
03-Jul-2023,110.77,+0.13,+0.12%,113.45,110.77,113.45,
