ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
02-Aug-2022,129.23,+8.73,+7.24%,120.50,120.50,129.23,
01-Aug-2022,120.50,+4.14,+3.56%,119.93,119.93,120.50,
29-Jul-2022,116.36,-3.57,-2.98%,119.93,116.36,119.93,
28-Jul-2022,119.93,+2.65,+2.26%,117.28,117.28,119.93,
27-Jul-2022,117.28,-11.27,-8.77%,128.55,117.28,128.55,
26-Jul-2022,128.55,+0.28,+0.22%,128.27,128.27,128.55,
25-Jul-2022,128.27,+4.57,+3.69%,121.15,121.15,128.27,
22-Jul-2022,123.70,+2.55,+2.10%,121.15,121.15,123.70,
21-Jul-2022,121.15,-1.75,-1.42%,122.90,121.15,122.90,
20-Jul-2022,122.90,-1.80,-1.44%,124.70,122.90,124.70,
19-Jul-2022,124.70,-2.99,-2.34%,127.69,124.70,127.69,
18-Jul-2022,127.69,-2.16,-1.66%,137.76,127.69,137.76,
15-Jul-2022,129.85,-7.91,-5.74%,137.76,129.85,137.76,
14-Jul-2022,137.76,+1.66,+1.22%,136.10,136.10,137.76,
13-Jul-2022,136.10,-12.01,-8.11%,148.11,136.10,148.11,
12-Jul-2022,148.11,+0.39,+0.26%,147.72,147.72,148.11,
11-Jul-2022,147.72,+2.47,+1.70%,149.71,147.72,149.71,
08-Jul-2022,145.25,-4.46,-2.98%,149.71,145.25,149.71,
07-Jul-2022,149.71,-1.43,-0.95%,151.14,149.71,151.14,
06-Jul-2022,151.14,-5.02,-3.21%,156.16,151.14,156.16,
05-Jul-2022,156.16,+11.99,+8.32%,144.17,144.17,156.16,
01-Jul-2022,144.17,+8.67,+6.40%,135.50,135.50,144.17,
30-Jun-2022,135.50,+5.07,+3.89%,130.43,130.43,135.50,
29-Jun-2022,130.43,-4.79,-3.54%,135.22,130.43,135.22,
28-Jun-2022,135.22,+2.00,+1.50%,133.22,133.22,135.22,
27-Jun-2022,133.22,+6.22,+4.90%,125.98,125.98,133.22,
24-Jun-2022,127.00,+1.02,+0.81%,125.98,125.98,127.00,
23-Jun-2022,125.98,-3.96,-3.05%,129.94,125.98,129.94,
22-Jun-2022,129.94,-8.97,-6.46%,138.91,129.94,138.91,
21-Jun-2022,138.91,+5.16,+3.86%,133.75,133.75,138.91,
17-Jun-2022,133.75,-4.35,-3.15%,138.10,133.75,138.10,
16-Jun-2022,138.10,+2.17,+1.60%,135.93,135.93,138.10,
15-Jun-2022,135.93,-8.16,-5.66%,144.09,135.93,144.09,
14-Jun-2022,144.09,+4.88,+3.51%,139.21,139.21,144.09,
13-Jun-2022,139.21,+24.98,+21.87%,114.23,114.23,139.21,
10-Jun-2022,114.23,+8.94,+8.49%,105.29,105.29,114.23,
09-Jun-2022,105.29,0.00,0.00%,105.29,105.29,105.29,
08-Jun-2022,105.29,+2.68,+2.61%,102.61,102.61,105.29,
07-Jun-2022,102.61,+0.35,+0.34%,102.26,102.26,102.61,
06-Jun-2022,102.26,+4.53,+4.64%,99.27,99.27,102.26,
03-Jun-2022,97.73,-1.54,-1.55%,99.27,97.73,99.27,
02-Jun-2022,99.27,-10.11,-9.24%,109.38,99.27,109.38,
01-Jun-2022,109.38,+2.26,+2.11%,107.12,107.12,109.38,
31-May-2022,107.12,+8.64,+8.77%,98.48,98.48,107.12,
27-May-2022,98.48,-4.01,-3.91%,102.49,98.48,102.49,
26-May-2022,102.49,-3.20,-3.03%,105.69,102.49,105.69,
25-May-2022,105.69,-5.46,-4.91%,111.15,105.69,111.15,
24-May-2022,111.15,+0.96,+0.87%,110.19,110.19,111.15,
23-May-2022,110.19,-0.91,-0.82%,115.05,110.19,115.05,
20-May-2022,111.10,-3.95,-3.43%,115.05,111.10,115.05,
19-May-2022,115.05,+0.19,+0.17%,114.86,114.86,115.05,
18-May-2022,114.86,-4.60,-3.85%,119.46,114.86,119.46,
17-May-2022,119.46,+1.51,+1.28%,117.95,117.95,119.46,
16-May-2022,117.95,+3.34,+2.91%,118.73,117.95,118.73,
13-May-2022,114.61,-4.12,-3.47%,118.73,114.61,118.73,
12-May-2022,118.73,+0.68,+0.58%,118.05,118.05,118.73,
11-May-2022,118.05,-8.71,-6.87%,126.76,118.05,126.76,
10-May-2022,126.76,+1.54,+1.23%,125.22,125.22,126.76,
09-May-2022,125.22,+3.80,+3.13%,122.72,122.72,125.22,
06-May-2022,121.42,-1.30,-1.06%,122.72,121.42,122.72,
05-May-2022,122.72,+0.73,+0.60%,121.99,121.99,122.72,
04-May-2022,121.99,-4.47,-3.53%,126.46,121.99,126.46,
03-May-2022,126.46,-8.71,-6.44%,135.17,126.46,135.17,
02-May-2022,135.17,+6.77,+5.27%,128.74,128.74,135.17,
29-Apr-2022,128.40,-0.34,-0.26%,128.74,128.40,128.74,
28-Apr-2022,128.74,-1.37,-1.05%,130.11,128.74,130.11,
27-Apr-2022,130.11,+0.84,+0.65%,129.27,129.27,130.11,
26-Apr-2022,129.27,-2.36,-1.79%,131.63,129.27,131.63,
25-Apr-2022,131.63,+3.51,+2.74%,130.69,130.69,131.63,
22-Apr-2022,128.12,-2.57,-1.97%,130.69,128.12,130.69,
21-Apr-2022,130.69,+5.57,+4.45%,125.12,125.12,130.69,
20-Apr-2022,125.12,+2.38,+1.94%,122.74,122.74,125.12,
19-Apr-2022,122.74,+0.42,+0.34%,122.32,122.32,122.74,
18-Apr-2022,122.32,+2.66,+2.22%,119.66,119.66,122.32,
14-Apr-2022,119.66,+3.33,+2.86%,116.33,116.33,119.66,
13-Apr-2022,116.33,-1.46,-1.24%,117.79,116.33,117.79,
12-Apr-2022,117.79,-12.08,-9.30%,129.87,117.79,129.87,
11-Apr-2022,129.87,+5.01,+4.01%,122.67,122.67,129.87,
08-Apr-2022,124.86,+2.19,+1.79%,122.67,122.67,124.86,
07-Apr-2022,122.67,-1.25,-1.01%,123.92,122.67,123.92,
06-Apr-2022,123.92,+7.55,+6.49%,116.37,116.37,123.92,
05-Apr-2022,116.37,+8.00,+7.38%,108.37,108.37,116.37,
04-Apr-2022,108.37,+0.03,+0.03%,106.88,106.88,108.37,
01-Apr-2022,108.34,+1.46,+1.37%,106.88,106.88,108.34,
31-Mar-2022,106.88,-6.10,-5.40%,112.98,106.88,112.98,
30-Mar-2022,112.98,-4.94,-4.19%,117.92,112.98,117.92,
29-Mar-2022,117.92,-11.36,-8.79%,129.28,117.92,129.28,
28-Mar-2022,129.28,+4.01,+3.20%,113.14,113.14,129.28,
25-Mar-2022,125.27,+12.13,+10.72%,113.14,113.14,125.27,
24-Mar-2022,113.14,+7.42,+7.02%,105.72,105.72,113.14,
23-Mar-2022,105.72,+0.34,+0.32%,105.38,105.38,105.72,
22-Mar-2022,105.38,+3.44,+3.37%,101.94,101.94,105.38,
21-Mar-2022,101.94,+10.17,+11.08%,91.76,91.76,101.94,
18-Mar-2022,91.77,+0.01,+0.01%,91.76,91.76,91.77,
17-Mar-2022,91.76,-8.81,-8.76%,100.57,91.76,100.57,
16-Mar-2022,100.57,-0.46,-0.46%,101.03,100.57,101.03,
15-Mar-2022,101.03,-4.05,-3.85%,105.08,101.03,105.08,
14-Mar-2022,105.08,+6.05,+6.11%,99.03,99.03,105.08,
11-Mar-2022,99.03,-6.28,-5.96%,105.31,99.03,105.31,
10-Mar-2022,105.31,-5.59,-5.04%,110.90,105.31,110.90,
09-Mar-2022,110.90,-22.47,-16.85%,133.37,110.90,133.37,
08-Mar-2022,133.37,-6.66,-4.76%,140.03,133.37,140.03,
07-Mar-2022,140.03,+8.21,+6.23%,115.18,115.18,140.03,
04-Mar-2022,131.82,+16.64,+14.45%,115.18,115.18,131.82,
03-Mar-2022,115.18,+4.90,+4.44%,110.28,110.28,115.18,
02-Mar-2022,110.28,-7.98,-6.75%,118.26,110.28,118.26,
01-Mar-2022,118.26,+17.86,+17.79%,100.40,100.40,118.26,
28-Feb-2022,100.40,+7.06,+7.56%,100.75,100.40,100.75,
25-Feb-2022,93.34,-7.41,-7.35%,100.75,93.34,100.75,
24-Feb-2022,100.75,+5.60,+5.89%,95.15,95.15,100.75,
23-Feb-2022,95.15,-0.39,-0.41%,95.54,95.15,95.54,
22-Feb-2022,95.54,+1.18,+1.25%,94.36,94.36,95.54,
18-Feb-2022,94.36,-1.81,-1.88%,96.17,94.36,96.17,
17-Feb-2022,96.17,+3.43,+3.70%,92.74,92.74,96.17,
16-Feb-2022,92.74,-1.26,-1.34%,94.00,92.74,94.00,
15-Feb-2022,94.00,-8.28,-8.10%,102.28,94.00,102.28,
14-Feb-2022,102.28,+8.25,+8.77%,88.52,88.52,102.28,
11-Feb-2022,94.03,+5.51,+6.22%,88.52,88.52,94.03,
10-Feb-2022,88.52,+6.76,+8.27%,81.76,81.76,88.52,
09-Feb-2022,81.76,-0.96,-1.16%,82.72,81.76,82.72,
08-Feb-2022,82.72,-4.72,-5.40%,87.44,82.72,87.44,
07-Feb-2022,87.44,-0.24,-0.27%,85.74,85.74,87.44,
04-Feb-2022,87.68,+1.94,+2.26%,85.74,85.74,87.68,
03-Feb-2022,85.74,+0.89,+1.05%,84.85,84.85,85.74,
02-Feb-2022,84.85,-0.37,-0.43%,85.22,84.85,85.22,
01-Feb-2022,85.22,+0.08,+0.09%,85.14,85.14,85.22,
31-Jan-2022,85.14,-0.15,-0.18%,85.62,85.14,85.62,
28-Jan-2022,85.29,-0.33,-0.39%,85.62,85.29,85.62,
27-Jan-2022,85.62,-0.13,-0.15%,85.75,85.62,85.75,
26-Jan-2022,85.75,+1.18,+1.40%,84.57,84.57,85.75,
25-Jan-2022,84.57,+0.80,+0.95%,83.77,83.77,84.57,
24-Jan-2022,83.77,+2.74,+3.38%,80.96,80.96,83.77,
21-Jan-2022,81.03,+0.07,+0.09%,80.96,80.96,81.03,
20-Jan-2022,80.96,+0.82,+1.02%,80.14,80.14,80.96,
19-Jan-2022,80.14,-4.49,-5.31%,84.63,80.14,84.63,
18-Jan-2022,84.63,+8.04,+10.50%,76.59,76.59,84.63,
14-Jan-2022,76.59,+4.02,+5.54%,72.57,72.57,76.59,
13-Jan-2022,72.57,-1.98,-2.66%,74.55,72.57,74.55,
12-Jan-2022,74.55,-3.30,-4.24%,77.85,74.55,77.85,
11-Jan-2022,77.85,-0.27,-0.35%,78.12,77.85,78.12,
10-Jan-2022,78.12,+3.43,+4.59%,77.73,77.73,78.12,
07-Jan-2022,74.69,-3.04,-3.91%,77.73,74.69,77.73,
06-Jan-2022,77.73,-0.95,-1.21%,78.68,77.73,78.68,
05-Jan-2022,78.68,-4.43,-5.33%,83.11,78.68,83.11,
04-Jan-2022,83.11,-0.97,-1.15%,84.08,83.11,84.08,
03-Jan-2022,84.08,+6.98,+9.05%,77.62,77.62,84.08,
31-Dec-2021,77.10,-0.52,-0.67%,77.62,77.10,77.62,
30-Dec-2021,77.62,-0.38,-0.49%,78.00,77.62,78.00,
29-Dec-2021,78.00,+0.48,+0.62%,77.52,77.52,78.00,
28-Dec-2021,77.52,-2.60,-3.25%,80.12,77.52,80.12,
27-Dec-2021,80.12,+2.83,+3.66%,77.29,77.29,80.12,
23-Dec-2021,77.29,+0.44,+0.57%,76.85,76.85,77.29,
22-Dec-2021,76.85,-2.67,-3.36%,79.52,76.85,79.52,
21-Dec-2021,79.52,+2.50,+3.25%,77.02,77.02,79.52,
20-Dec-2021,77.02,+4.56,+6.29%,69.10,69.10,77.02,
17-Dec-2021,72.46,+3.36,+4.86%,69.10,69.10,72.46,
16-Dec-2021,69.10,-4.96,-6.70%,74.06,69.10,74.06,
15-Dec-2021,74.06,-4.92,-6.23%,78.98,74.06,78.98,
14-Dec-2021,78.98,+2.57,+3.36%,76.41,76.41,78.98,
13-Dec-2021,76.41,+2.05,+2.76%,79.54,76.41,79.54,
10-Dec-2021,74.36,-5.18,-6.51%,79.54,74.36,79.54,
09-Dec-2021,79.54,-0.75,-0.93%,80.29,79.54,80.29,
08-Dec-2021,80.29,-7.85,-8.91%,88.14,80.29,88.14,
07-Dec-2021,88.14,+0.25,+0.28%,87.89,87.89,88.14,
06-Dec-2021,87.89,+8.75,+11.06%,82.55,82.55,87.89,
03-Dec-2021,79.14,-3.41,-4.13%,82.55,79.14,82.55,
02-Dec-2021,82.55,-0.42,-0.51%,82.97,82.55,82.97,
01-Dec-2021,82.97,-1.07,-1.27%,84.04,82.97,84.04,
30-Nov-2021,84.04,-5.37,-6.01%,89.41,84.04,89.41,
29-Nov-2021,89.41,-0.04,-0.04%,83.15,83.15,89.41,
26-Nov-2021,89.45,+6.30,+7.58%,83.15,83.15,89.45,
24-Nov-2021,83.15,+2.58,+3.20%,80.57,80.57,83.15,
23-Nov-2021,80.57,+1.36,+1.72%,79.21,79.21,80.57,
22-Nov-2021,79.21,+5.82,+7.93%,74.51,74.51,79.21,
19-Nov-2021,73.39,-1.12,-1.50%,74.51,73.39,74.51,
18-Nov-2021,74.51,-7.07,-8.67%,81.58,74.51,81.58,
17-Nov-2021,81.58,0.00,0.00%,81.58,81.58,81.58,
16-Nov-2021,81.58,-0.01,-0.01%,81.59,81.58,81.59,
15-Nov-2021,81.59,+2.98,+3.79%,78.31,78.31,81.59,
12-Nov-2021,78.61,+0.30,+0.38%,78.31,78.31,78.61,
10-Nov-2021,78.31,+5.29,+7.24%,73.02,73.02,78.31,
09-Nov-2021,73.02,+2.05,+2.89%,70.97,70.97,73.02,
08-Nov-2021,70.97,+4.07,+6.08%,64.61,64.61,70.97,
05-Nov-2021,66.90,+2.29,+3.54%,64.61,64.61,66.90,
04-Nov-2021,64.61,-6.61,-9.28%,71.22,64.61,71.22,
03-Nov-2021,71.22,+0.18,+0.25%,71.04,71.04,71.22,
02-Nov-2021,71.04,-7.30,-9.32%,78.34,71.04,78.34,
01-Nov-2021,78.34,+2.89,+3.83%,71.96,71.96,78.34,
29-Oct-2021,75.45,+3.49,+4.85%,71.96,71.96,75.45,
28-Oct-2021,71.96,+1.90,+2.71%,70.06,70.06,71.96,
27-Oct-2021,70.06,+3.36,+5.04%,66.70,66.70,70.06,
26-Oct-2021,66.70,-2.26,-3.28%,68.96,66.70,68.96,
25-Oct-2021,68.96,-3.08,-4.28%,69.42,68.96,69.42,
22-Oct-2021,72.04,+2.62,+3.77%,69.42,69.42,72.04,
21-Oct-2021,69.42,+3.95,+6.03%,65.47,65.47,69.42,
20-Oct-2021,65.47,-2.78,-4.07%,68.25,65.47,68.25,
19-Oct-2021,68.25,-2.52,-3.56%,70.77,68.25,70.77,
18-Oct-2021,70.77,+8.07,+12.87%,59.35,59.35,70.77,
15-Oct-2021,62.70,+3.35,+5.64%,59.35,59.35,62.70,
14-Oct-2021,59.35,-1.49,-2.45%,60.84,59.35,60.84,
13-Oct-2021,60.84,-2.11,-3.35%,62.95,60.84,62.95,
12-Oct-2021,62.95,+3.30,+5.53%,59.65,59.65,62.95,
08-Oct-2021,59.65,-1.26,-2.07%,60.91,59.65,60.91,
07-Oct-2021,60.91,+0.26,+0.43%,60.65,60.65,60.91,
06-Oct-2021,60.65,-2.18,-3.47%,62.83,60.65,62.83,
05-Oct-2021,62.83,+2.22,+3.66%,60.61,60.61,62.83,
04-Oct-2021,60.61,+3.23,+5.63%,61.07,60.61,61.07,
01-Oct-2021,57.38,-3.69,-6.04%,61.07,57.38,61.07,
30-Sep-2021,61.07,-0.14,-0.23%,61.21,61.07,61.21,
29-Sep-2021,61.21,-1.50,-2.39%,62.71,61.21,62.71,
28-Sep-2021,62.71,+2.21,+3.65%,60.50,60.50,62.71,
27-Sep-2021,60.50,+2.04,+3.49%,56.79,56.79,60.50,
24-Sep-2021,58.46,+1.67,+2.94%,56.79,56.79,58.46,
23-Sep-2021,56.79,+0.87,+1.56%,55.92,55.92,56.79,
22-Sep-2021,55.92,-3.28,-5.54%,59.20,55.92,59.20,
21-Sep-2021,59.20,-0.38,-0.64%,59.58,59.20,59.58,
20-Sep-2021,59.58,+3.52,+6.28%,56.06,56.06,59.58,
17-Sep-2021,56.06,+2.36,+4.39%,53.70,53.70,56.06,
16-Sep-2021,53.70,-0.23,-0.43%,53.93,53.70,53.93,
15-Sep-2021,53.93,+2.20,+4.25%,51.73,51.73,53.93,
14-Sep-2021,51.73,-1.37,-2.58%,53.10,51.73,53.10,
13-Sep-2021,53.10,+1.37,+2.65%,52.61,52.61,53.10,
10-Sep-2021,51.73,-0.88,-1.67%,52.61,51.73,52.61,
09-Sep-2021,52.61,-4.41,-7.73%,57.02,52.61,57.02,
08-Sep-2021,57.02,-0.03,-0.05%,57.05,57.02,57.05,
07-Sep-2021,57.05,+3.79,+7.12%,53.26,53.26,57.05,
03-Sep-2021,53.26,-2.54,-4.55%,55.80,53.26,55.80,
02-Sep-2021,55.80,-2.29,-3.94%,58.09,55.80,58.09,
01-Sep-2021,58.09,-1.45,-2.44%,59.54,58.09,59.54,
31-Aug-2021,59.54,-0.60,-1.00%,60.14,59.54,60.14,
30-Aug-2021,60.14,+2.16,+3.73%,63.41,60.14,63.41,
27-Aug-2021,57.98,-5.43,-8.56%,63.41,57.98,63.41,
26-Aug-2021,63.41,-1.10,-1.71%,64.51,63.41,64.51,
25-Aug-2021,64.51,+1.48,+2.35%,63.03,63.03,64.51,
24-Aug-2021,63.03,+0.80,+1.29%,62.23,62.23,63.03,
23-Aug-2021,62.23,+2.28,+3.80%,59.38,59.38,62.23,
20-Aug-2021,59.95,+0.57,+0.96%,59.38,59.38,59.95,
19-Aug-2021,59.38,+1.33,+2.29%,58.05,58.05,59.38,
18-Aug-2021,58.05,-2.23,-3.70%,60.28,58.05,60.28,
17-Aug-2021,60.28,+0.88,+1.48%,59.40,59.40,60.28,
16-Aug-2021,59.40,+3.95,+7.12%,55.45,55.45,59.40,
13-Aug-2021,55.45,-1.94,-3.38%,57.39,55.45,57.39,
12-Aug-2021,57.39,-3.27,-5.39%,60.66,57.39,60.66,
11-Aug-2021,60.66,-5.89,-8.85%,66.55,60.66,66.55,
10-Aug-2021,66.55,+0.83,+1.26%,65.72,65.72,66.55,
09-Aug-2021,65.72,+3.08,+4.92%,63.57,63.57,65.72,
06-Aug-2021,62.64,-0.93,-1.46%,63.57,62.64,63.57,
05-Aug-2021,63.57,+0.90,+1.44%,62.67,62.67,63.57,
04-Aug-2021,62.67,-2.75,-4.20%,65.42,62.67,65.42,
03-Aug-2021,65.42,+1.13,+1.76%,64.29,64.29,65.42,
02-Aug-2021,64.29,+3.10,+5.07%,62.08,62.08,64.29,
30-Jul-2021,61.19,-0.89,-1.43%,62.08,61.19,62.08,
29-Jul-2021,62.08,-0.32,-0.51%,62.40,62.08,62.40,
28-Jul-2021,62.40,-7.67,-10.95%,70.07,62.40,70.07,
27-Jul-2021,70.07,+1.04,+1.51%,69.03,69.03,70.07,
26-Jul-2021,69.03,+3.75,+5.74%,64.96,64.96,69.03,
23-Jul-2021,65.28,+0.32,+0.49%,64.96,64.96,65.28,
22-Jul-2021,64.96,-0.32,-0.49%,65.28,64.96,65.28,
21-Jul-2021,65.28,-4.03,-5.81%,69.31,65.28,69.31,
20-Jul-2021,69.31,+1.73,+2.56%,67.58,67.58,69.31,
19-Jul-2021,67.58,+9.34,+16.04%,56.98,56.98,67.58,
16-Jul-2021,58.24,+1.26,+2.21%,56.98,56.98,58.24,
15-Jul-2021,56.98,-0.33,-0.58%,57.31,56.98,57.31,
14-Jul-2021,57.31,-3.49,-5.74%,60.80,57.31,60.80,
13-Jul-2021,60.80,+0.02,+0.03%,60.78,60.78,60.80,
12-Jul-2021,60.78,+0.86,+1.44%,61.68,60.78,61.68,
09-Jul-2021,59.92,-1.76,-2.85%,61.68,59.92,61.68,
08-Jul-2021,61.68,+1.03,+1.70%,60.65,60.65,61.68,
07-Jul-2021,60.65,+4.10,+7.25%,56.55,56.55,60.65,
06-Jul-2021,56.55,+4.14,+7.90%,52.41,52.41,56.55,
02-Jul-2021,52.41,-5.11,-8.88%,57.52,52.41,57.52,
01-Jul-2021,57.52,+0.25,+0.44%,57.27,57.27,57.52,
30-Jun-2021,57.27,+0.47,+0.83%,56.80,56.80,57.27,
29-Jun-2021,56.80,+0.47,+0.83%,56.33,56.33,56.80,
28-Jun-2021,56.33,+0.75,+1.35%,54.83,54.83,56.33,
25-Jun-2021,55.58,+0.75,+1.37%,54.83,54.83,55.58,
24-Jun-2021,54.83,-0.77,-1.38%,55.60,54.83,55.60,
23-Jun-2021,55.60,-3.04,-5.18%,58.64,55.60,58.64,
22-Jun-2021,58.64,-3.22,-5.21%,61.86,58.64,61.86,
21-Jun-2021,61.86,+1.41,+2.33%,54.91,54.91,61.86,
18-Jun-2021,60.45,+5.54,+10.09%,54.91,54.91,60.45,
17-Jun-2021,54.91,+0.63,+1.16%,54.28,54.28,54.91,
16-Jun-2021,54.28,+1.36,+2.57%,52.92,52.92,54.28,
15-Jun-2021,52.92,-1.11,-2.05%,54.03,52.92,54.03,
14-Jun-2021,54.03,+3.18,+6.25%,48.26,48.26,54.03,
11-Jun-2021,50.85,+2.59,+5.37%,48.26,48.26,50.85,
10-Jun-2021,48.26,-4.58,-8.67%,52.84,48.26,52.84,
09-Jun-2021,52.84,+2.91,+5.83%,49.93,49.93,52.84,
08-Jun-2021,49.93,+0.38,+0.77%,49.55,49.55,49.93,
07-Jun-2021,49.55,-0.23,-0.46%,53.96,49.55,53.96,
04-Jun-2021,49.78,-4.18,-7.75%,53.96,49.78,53.96,
03-Jun-2021,53.96,-1.25,-2.26%,55.21,53.96,55.21,
02-Jun-2021,55.21,+0.22,+0.40%,54.99,54.99,55.21,
01-Jun-2021,54.99,+2.95,+5.67%,52.04,52.04,54.99,
28-May-2021,52.04,-1.43,-2.67%,53.47,52.04,53.47,
27-May-2021,53.47,+0.65,+1.23%,52.82,52.82,53.47,
26-May-2021,52.82,-0.90,-1.68%,53.72,52.82,53.72,
25-May-2021,53.72,-1.22,-2.22%,54.94,53.72,54.94,
24-May-2021,54.94,+0.35,+0.64%,54.59,54.59,54.94,
21-May-2021,54.59,-0.45,-0.82%,55.04,54.59,55.04,
20-May-2021,55.04,-2.27,-3.96%,57.31,55.04,57.31,
19-May-2021,57.31,+0.13,+0.23%,57.18,57.18,57.31,
18-May-2021,57.18,-1.41,-2.41%,58.59,57.18,58.59,
17-May-2021,58.59,+3.60,+6.55%,54.99,54.99,58.59,
14-May-2021,54.99,-1.60,-2.83%,56.59,54.99,56.59,
13-May-2021,56.59,-1.88,-3.22%,58.47,56.59,58.47,
12-May-2021,58.47,+0.46,+0.79%,58.01,58.01,58.47,
11-May-2021,58.01,+2.53,+4.56%,55.48,55.48,58.01,
10-May-2021,55.48,+1.35,+2.49%,54.13,54.13,55.48,
07-May-2021,54.13,-3.62,-6.27%,57.75,54.13,57.75,
06-May-2021,57.75,+0.82,+1.44%,56.93,56.93,57.75,
05-May-2021,56.93,-1.58,-2.70%,58.51,56.93,58.51,
04-May-2021,58.51,+1.18,+2.06%,57.33,57.33,58.51,
03-May-2021,57.33,-0.80,-1.38%,58.13,57.33,58.13,
30-Apr-2021,58.13,-0.89,-1.51%,59.02,58.13,59.02,
29-Apr-2021,59.02,-1.29,-2.14%,60.31,59.02,60.31,
28-Apr-2021,60.31,+0.16,+0.27%,60.15,60.15,60.31,
27-Apr-2021,60.15,-0.83,-1.36%,60.98,60.15,60.98,
26-Apr-2021,60.98,+1.00,+1.67%,59.98,59.98,60.98,
23-Apr-2021,59.98,+0.36,+0.60%,59.62,59.62,59.98,
22-Apr-2021,59.62,-2.65,-4.26%,62.27,59.62,62.27,
21-Apr-2021,62.27,-2.08,-3.23%,64.35,62.27,64.35,
20-Apr-2021,64.35,+0.39,+0.61%,63.96,63.96,64.35,
19-Apr-2021,63.96,+1.39,+2.22%,62.57,62.57,63.96,
16-Apr-2021,62.57,+3.52,+5.96%,59.05,59.05,62.57,
15-Apr-2021,59.05,-1.03,-1.71%,60.08,59.05,60.08,
14-Apr-2021,60.08,-1.12,-1.83%,61.20,60.08,61.20,
13-Apr-2021,61.20,-2.30,-3.62%,63.50,61.20,63.50,
12-Apr-2021,63.50,+2.29,+3.74%,61.21,61.21,63.50,
09-Apr-2021,61.21,+1.13,+1.88%,60.08,60.08,61.21,
08-Apr-2021,60.08,-2.46,-3.93%,62.54,60.08,62.54,
07-Apr-2021,62.54,+2.25,+3.73%,60.29,60.29,62.54,
06-Apr-2021,60.29,-1.50,-2.43%,61.79,60.29,61.79,
05-Apr-2021,61.79,-1.92,-3.01%,63.71,61.79,63.71,
02-Apr-2021,63.71,-1.28,-1.97%,64.99,63.71,64.99,
01-Apr-2021,64.99,-6.28,-8.81%,71.27,64.99,71.27,
31-Mar-2021,71.27,+3.83,+5.68%,67.44,67.44,71.27,
30-Mar-2021,67.44,+1.48,+2.24%,65.96,65.96,67.44,
29-Mar-2021,65.96,+4.47,+7.27%,61.49,61.49,65.96,
26-Mar-2021,61.49,+1.95,+3.28%,59.54,59.54,61.49,
25-Mar-2021,59.54,-1.17,-1.93%,60.71,59.54,60.71,
24-Mar-2021,60.71,-0.06,-0.10%,60.77,60.71,60.77,
23-Mar-2021,60.77,-6.85,-10.13%,67.62,60.77,67.62,
22-Mar-2021,67.62,-1.18,-1.72%,68.80,67.62,68.80,
19-Mar-2021,68.80,-1.68,-2.38%,70.48,68.80,70.48,
18-Mar-2021,70.48,+3.73,+5.59%,66.75,66.75,70.48,
17-Mar-2021,66.75,-4.06,-5.73%,70.81,66.75,70.81,
16-Mar-2021,70.81,+0.02,+0.03%,70.79,70.79,70.81,
15-Mar-2021,70.79,-0.04,-0.06%,70.83,70.79,70.83,
12-Mar-2021,70.83,+6.93,+10.85%,63.90,63.90,70.83,
11-Mar-2021,63.90,+0.71,+1.12%,63.19,63.19,63.90,
10-Mar-2021,63.19,-4.25,-6.30%,67.44,63.19,67.44,
09-Mar-2021,67.44,-4.21,-5.88%,71.65,67.44,71.65,
08-Mar-2021,71.65,+2.28,+3.29%,69.37,69.37,71.65,
05-Mar-2021,69.37,+1.24,+1.82%,68.13,68.13,69.37,
04-Mar-2021,68.13,+2.30,+3.49%,65.83,65.83,68.13,
03-Mar-2021,65.83,+8.13,+14.09%,57.70,57.70,65.83,
02-Mar-2021,57.70,-11.03,-16.05%,68.73,57.70,68.73,
01-Mar-2021,68.73,-6.93,-9.16%,75.66,68.73,75.66,
26-Feb-2021,75.66,+1.50,+2.02%,74.16,74.16,75.66,
25-Feb-2021,74.16,+12.24,+19.77%,61.92,61.92,74.16,
24-Feb-2021,61.92,+0.19,+0.31%,61.73,61.73,61.92,
23-Feb-2021,61.73,-0.69,-1.11%,62.42,61.73,62.42,
22-Feb-2021,62.42,+1.99,+3.29%,60.43,60.43,62.42,
19-Feb-2021,60.43,+4.31,+7.68%,56.12,56.12,60.43,
18-Feb-2021,56.12,+0.15,+0.27%,55.97,55.97,56.12,
17-Feb-2021,55.97,-0.81,-1.43%,56.78,55.97,56.78,
16-Feb-2021,56.78,+9.77,+20.78%,47.01,47.01,56.78,
12-Feb-2021,47.01,+1.06,+2.31%,45.95,45.95,47.01,
